document_id,page_number,source_file_name,ocr_status,page_type,people_mentioned,evidence_items_mentioned,locations_mentioned,dates_mentioned,times_mentioned,key_factual_content,related_claims,related_events,transcription_status,notes
DOC-0001,61,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,Unknown deceased man,EV-0003 Brown suitcase and contents; EV-0005 Clothing,Coroner Court Adelaide,None observed in OCR,None observed in OCR,"(Continued)- of   ·  ·  ·.. ·  :  . 24 I t is all ordinary ta _Ie knife cu t Co va) • Inside the folc.ers produced is tinned zirJc ) an s.lloy used for stencilling. a piE~ ce ililr Gray then produced of similar zinc , Dot quit e so heavy, and st at ed that in his opinion the Knife was used to s tart the letter off, he t hen finished the letter by cutting around wi th the sci s sors . The brush is ussd fer Mr. and. fo",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,62,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,63,inquest1949ocr.pdf,Extractable OCR text,Photograph,Unknown deceased man; Patrick James Durham; M.C. Knight,None observed in OCR,Somerton Beach; City Mortuary; Coroner Court Adelaide,1943; 3282,None observed in OCR,"of...   . (Oontinued)- 25 CORON ER CALL S P ATRI CK J iiUIES DUHHAM Polic,s Photographer and ~Ingerpril1t Expert ~t8. td At Adelo SWORl~ BY COHONEB o "" December 3rd 1943 in co wi t i-: M.e .. . Knight I went t!J t:ie Ci ty Morgue Adelaide, o.nd I wa s pointed out a body by M.l"". Knight, who s aid the Lody had been fo _:nd on the Somerton Beach .. I p ho togra;Jhed t he bo(,-,)-',:full face and side face. I produce th",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,64,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,65,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,William West,EV-0008 Henley Beach railway ticket,Somerton Beach; Coroner Court Adelaide,1005; 1948; 3282,None observed in OCR,"of..   (Continued)- 26 • .tlesuming at 2 .. 3u p""fll .. this day"" COHOI~Eh CALLS: WILLIlll\!l WEST of 6 'l'ram bt. Kensil1g ton"" SWORN BY COHONER: am I illy Kax/ employed by the ~ .. .6.. R. and i t i sl du ty to be aware 0 f the times of arri val and departure of trains .. On 30th 1IlovB;J1ber 1948, the t r ain from Bowmans arri ved at 8.30 a .. m.. , from rtob9rtst cvv.o , 3.47; from Willunga, 8.49; Angaston, 9.05;",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,66,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,67,inquest1949ocr.pdf,Extractable OCR text,Police testimony,Unknown deceased man; Raymond Lionel Leane,EV-0003 Brown suitcase and contents; EV-0004 Tie; EV-0005 Clothing; EV-0007 Death mask/bust; EV-0015 Fingerprints; EV-0016 Tooth chart,Coroner Court Adelaide,None observed in OCR,None observed in OCR,"of..   . (Continued)- 27 DETECTIVE LEANE LONTI ~UING. BY CORONEH: On 30th November' 15348 the day was warm, 72 degrees maximum, e;loudy during the day., vi si bili ty fair to good. j"".uring tl1.e early evening, c l ouded, and c.t abou t 8 p.ill. it was hazy. Un 23rd Noveluber the ill &.ximum was x;i!X 79.9 degrees, clear day and clear nig:1t. On 24 th it was 91.7 degrees, clear during the morning, afternoon was overc",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,68,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,69,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,None observed in OCR,EV-0001 Tamam Shud slip; EV-0003 Brown suitcase and contents; EV-0004 Tie; EV-0012 Cigarette packet/cigarettes; EV-0016 Tooth chart,Somerton Beach; Coroner Court Adelaide,None observed in OCR,None observed in OCR,"of...   . (Continued)- 28 /~ In response, we have.rBi :)eo p1e comi~1g forward to identify ti'le decd e ~~k ~ . ~ ~ L/UU-W I b eli :3ve ODe man di~ s.~Gfy poli'-' ~ 1~ name? was MCLe an,-out it wa s not positi ve .. It has not b een s h own to be wrong . di d not t ally wi th this man e Personal pa rticulc.T s In all cases where people have wri t 'ten the p articulars supplied do not tally, because of teeth, age of o",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,70,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,71,inquest1949ocr.pdf,Extractable OCR text,Police testimony,Unknown deceased man; Raymond Lionel Leane; Leonard Douglas Brown,EV-0001 Tamam Shud slip; EV-0003 Brown suitcase and contents; EV-0005 Clothing,Somerton Beach; Coroner Court Adelaide,3282,None observed in OCR,"of..   ·················.. ·  (Continued)- 29 CORONER CALLS: LEONARD DOUGLAS BHOWN DETEC e STATD AT ADELe SWORN NY CORONER: The cIa thing found on the body, i.""G.ainly the shirt, the handY~er chief and the pair of jockey underpa.'1ts, are identical wi th a s hirt and 'oair of underpants, handkerchief and the underpants found i:o the sui tease. I would say they are identical and size, and in manufacture. £'rom the lay",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,72,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,73,inquest1949ocr.pdf,Extractable OCR text,Exhibit reference,Mr Whiting,EV-0001 Tamam Shud slip; EV-0002 Rubaiyat copy; EV-0003 Brown suitcase and contents,None observed in OCR,None observed in OCR,None observed in OCR,"of   ··.·.············   . (Continued)- 30 bu t :tluulo copy can be found wi th the words ,i'Taman shud n torn' :t'rom it .. ·.!.he paper on whi ch the words are wri t ten is known as COb. ted art paper, substance of 23 X 36, 56 lbs to the 500 sheets.. the paper which is before me. in the collins book. wood free '.l.'hat is I did not compare this paper wi th that If this is a collins impression, the one which I saw w",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,74,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
